SKU,QUANTITY
902342-000_GRIGIO_0926_M,2
902342-000_GRIGIO_0926_XL,7
902342-000_GRIGIO_0926_2XL,3
1401450754_BLU_433_40,1
60017-52088_BLU_373_2XL,1
J30J318507_BIANCO_YAF_XL,8
J30J318507_BIANCO_YAF_2XL,5
18014301024_VERDE_361_34,1
M1GI97K6XN1_BLU_G77G_S,20
M1GI97K6XN1_BLU_G77G_M,16
M1GI97K6XN1_BLU_G77G_XL,11
W1RI0BI3Z00_GRIGIO_SHGY_XS,7
W1RI0BI3Z00_GRIGIO_SHGY_S,11
W1RI0BI3Z00_GRIGIO_SHGY_M,9
W1RI0BI3Z00_GRIGIO_SHGY_L,8
W1RI0BI3Z00_GRIGIO_SHGY_XL,8
M1GD55K68I1_NERO_JBLK_S,5
M1GD55K68I1_NERO_JBLK_M,7
M1GD55K68I1_NERO_JBLK_XL,8
M1GD55K68I1_NERO_JBLK_2XL,3
NS01UTR03_GRIGIO_MELANGE_2XL,8
NS01UTR02_NERO_BLACK_S,50
59180-51907_VERDE_149_2XL,1
FW0FW05169F_BEIGE_AEZ_37,2
FW0FW05169F_BEIGE_AEZ_38,2
KL20WTP22_GIALLO_YELLOW_XS,8
19480711_GRIGIO_412_50,1
1401410501_ROSA_654_33-L34,2
1401410501_ROSA_654_34-L34,1
1401410501_AZZURRO_569_33-L34,1
1401410501_AZZURRO_569_34-L34,1
1401410478_BIANCO_113_30-L34,1
1401410478_BIANCO_113_34-L34,1
1303431873_MARRONE_205_38,1
1303431873_MARRONE_205_40,3
1303431873_MARRONE_205_42,3
1303431873_MARRONE_205_44,2
15021804665_GRIGIO_93_35,3
1501450847_BLU_433_44,4
1501450847_BLU_433_46,1
1601475710_BLU_410_S,4
1701021436_BLU_422_30,4
1701021436_BLU_422_31,1
1601076189_BLU_410_48,1
1601076189_BLU_410_50,1
1601076189_BLU_410_52,1
19011913556_ROSSO_640_29,1
19011913556_ROSSO_640_30,6
19011913556_ROSSO_640_31,2
19011913556_ROSSO_640_38,7
1901205010_ROSSO_640_S,1
1901205015_VERDE_355_30,1
1901205018_BLU_410_30,12
1901205018_BLU_410_31,4
1701076462_BLU_410_50,3
AW0AW07943_BLU_CJM_UNI,71
19038010032_GRIGIO_97_XL,1
19038010032_GRIGIO_97_2XL,1
18037001537_BLU_436_S,1
18031503956-1_BEIGE_261_35-L34,11
18031503956-1_BEIGE_261_36-L34,2
19033018530_BLU_423_S,5
1303450712_BLU_405_34,1
18031000112_BIANCO_130_31-L34,2
59252-52626_BEIGE_128_2XL,4
1701204118_BIANCO_110_XS,1
59160-52417_NERO_199_56,1
59160-52417_BLU_179_50,2
59160-52417_BLU_179_54,1
FM0FM03088_BLU_DW5_45,1
FM0FM03002_BLU_DW5_44,2
KL20MBM12_ROSSO_RED_S,69
KL20MBM12_ROSSO_RED_M,134
KL20MBM12_ROSSO_RED_L,124
KL20MBM12_ROSSO_RED_XL,51
KL20MBM12_ROSSO_RED_2XL,57
KL20MBM05_BLU_NAVY_S,16
KL20MBM02_AZZURRO_BLUE_S,2
19014100036_BLU_981_25-L34,2
19014100036_BLU_981_26-L34,1
M1RI71I3Z11_GRIGIO_LHY_XL,45
M1RI71I3Z11_GRIGIO_LHY_2XL,36
M1RI32J1311_GRIGIO_LHY_XL,6
M1RI32J1311_GRIGIO_LHY_2XL,21
M1RI82J1311_BIANCO_TWHT_2XL,10
1101450320_BLU_446_36,1
J30J315713_NERO_BAE_2XL,2
J30J315662_BIANCO_YAF_S,2
J20J214419_BLU_1BJ_31-L32,2
902342-000_BIANCO_0101_2XL,1
NP0A4EZD-BILO-H_GRIGIO_160-MED-GREY-MELANGE_2XL,1
J30J318170_BIANCO_YAF_XL,2
J30J318170_BIANCO_YAF_2XL,1
M1GI97K6XN1_VERDE_G8DA_S,4
M1GI97K6XN1_VERDE_G8DA_XL,4
M1GI97K6XN1_NERO_JBLK_M,2
M1GI97K6XN1_NERO_JBLK_XL,1
NS01UTR01_BIANCO_WHITE_S,3
13011008901_BIANCO_113_31-L36,1
1303410982_ROSA_658_29-L34,1
W73D55D2N81_NERO_BSUN_28,7
18011007308_AZZURRO_475_30,1
18011007308_AZZURRO_475_35,1
18011007308_BEIGE_261_35,5
18034100056_BLU_410_26,5
18034100056_BLU_410_27,13
50348-51919_VERDE_149_48,1
18033011530_BLU_436_S,8
18037705044_VERDE_323_50,1
19014301074_BLU_423_34,1
19014301074_BLU_423_36,1
19013016330_AZZURRO_420_S,1
1901921916013_VERDE_355_S,8
19017705073_BEIGE_34_48,1
19017705073_BEIGE_34_50,1
1503481000_NERO_5_2XL,1
18033004424_GRIGIO_92_S,1
18033004424_GRIGIO_92_L,3
18033004424_GRIGIO_92_XL,2
18033004424_GRIGIO_92_2XL,7
19034803089_ROSSO_610_XS,3
59160-52417_ROSSO_159_56,1
KL20MBM12_GIALLO_YELLOW_S,27
KL20MBM12_GIALLO_YELLOW_M,58
KL20MBM12_GIALLO_YELLOW_L,42
KL20MBM12_GIALLO_YELLOW_XL,19
KL20MBM12_GIALLO_YELLOW_2XL,3
KL20MBM12_BIANCO_WHITE_S,33
KL20MBM12_BIANCO_WHITE_M,38
KL20MBM12_BIANCO_WHITE_L,32
KL20MBM10_NERO_BLACK_S,32
KL20MBM08_BIANCO_WHITE_S,78
KL20MBM08_BIANCO_WHITE_M,33
